"from","to","capacity","length","ftime","B","power","speed","toll","type"
"1",10293,1e+05,0.45,0,0.15,4,25,0,3
"2",10294,1e+05,0.5,0,0.15,4,25,0,3
"3",10295,1e+05,0.39,0,0.15,4,25,0,3
"4",10296,1e+05,0.58,0,0.15,4,25,0,3
"5",10297,1e+05,0.5,0,0.15,4,25,0,3
"6",10298,1e+05,0.58,0,0.15,4,25,0,3
"7",10299,1e+05,0.45,0,0.15,4,25,0,3
"8",10300,1e+05,0.5,0,0.15,4,25,0,3
"9",10301,1e+05,0.44,0,0.15,4,25,0,3
"10",10302,1e+05,0.5,0,0.15,4,25,0,3
"11",10303,1e+05,0.45,0,0.15,4,25,0,3
"12",10304,1e+05,0.5,0,0.15,4,25,0,3
"13",10305,1e+05,0.44,0,0.15,4,25,0,3
"14",10306,1e+05,0.5,0,0.15,4,25,0,3
"15",10307,1e+05,0.44,0,0.15,4,25,0,3
"16",10308,1e+05,0.51,0,0.15,4,25,0,3
"17",10309,1e+05,0.44,0,0.15,4,25,0,3
"18",10310,1e+05,0.51,0,0.15,4,25,0,3
"19",10311,1e+05,0.43,0,0.15,4,25,0,3
"20",10312,1e+05,0.5,0,0.15,4,25,0,3
"21",10313,1e+05,0.43,0,0.15,4,25,0,3
"22",10314,1e+05,0.5,0,0.15,4,25,0,3
"23",10315,1e+05,0.43,0,0.15,4,25,0,3
"24",10316,1e+05,0.5,0,0.15,4,25,0,3
"25",10317,1e+05,0.43,0,0.15,4,25,0,3
"26",10318,1e+05,0.5,0,0.15,4,25,0,3
"27",10319,1e+05,0.43,0,0.15,4,25,0,3
"28",10320,1e+05,0.93,0,0.15,4,25,0,3
"29",10321,1e+05,0.93,0,0.15,4,25,0,3
"30",10322,1e+05,0.92,0,0.15,4,25,0,3
"31",10323,1e+05,0.39,0,0.15,4,25,0,3
"32",10324,1e+05,0.49,0,0.15,4,25,0,3
"33",10325,1e+05,0.54,0,0.15,4,25,0,3
"34",10326,1e+05,0.5,0,0.15,4,25,0,3
"35",10327,1e+05,0.3,0,0.15,4,25,0,3
"36",10328,1e+05,0.5,0,0.15,4,25,0,3
"37",10329,1e+05,0.42,0,0.15,4,25,0,3
"38",10330,1e+05,0.5,0,0.15,4,25,0,3
"39",10331,1e+05,0.48,0,0.15,4,25,0,3
"40",10332,1e+05,0.5,0,0.15,4,25,0,3
"41",10333,1e+05,0.55,0,0.15,4,25,0,3
"42",10334,1e+05,0.5,0,0.15,4,25,0,3
"43",10335,1e+05,0.5,0,0.15,4,25,0,3
"44",10336,1e+05,0.41,0,0.15,4,25,0,3
"45",10337,1e+05,0.5,0,0.15,4,25,0,3
"46",10338,1e+05,0.5,0,0.15,4,25,0,3
"47",10339,1e+05,0.43,0,0.15,4,25,0,3
"48",10340,1e+05,0.5,0,0.15,4,25,0,3
"49",10341,1e+05,0.5,0,0.15,4,25,0,3
"50",10342,1e+05,0.5,0,0.15,4,25,0,3
"51",10343,1e+05,0.5,0,0.15,4,25,0,3
"52",10344,1e+05,0.5,0,0.15,4,25,0,3
"53",10345,1e+05,0.52,0,0.15,4,25,0,3
"54",4051,1e+05,0.12,0,0.15,4,25,0,3
"55",2447,1e+05,0.12,0,0.15,4,25,0,3
"56",4053,1e+05,0.12,0,0.15,4,25,0,3
"57",4056,1e+05,0.12,0,0.15,4,25,0,3
"58",4065,1e+05,0.13,0,0.15,4,25,0,3
"59",2462,1e+05,0.13,0,0.15,4,25,0,3
"60",4100,1e+05,0.3,0,0.15,4,25,0,3
"61",10352,1e+05,0.13,0,0.15,4,25,0,3
"62",7517,1e+05,0.13,0,0.15,4,25,0,3
"63",9339,1e+05,0.13,0,0.15,4,25,0,3
"64",10353,1e+05,0.13,0,0.15,4,25,0,3
"65",10354,1e+05,0.15,0,0.15,4,25,0,3
"66",9912,1e+05,0.15,0,0.15,4,25,0,3
"67",4726,1e+05,0.12,0,0.15,4,25,0,3
"68",9340,1e+05,0.12,0,0.15,4,25,0,3
"69",2547,1e+05,0.12,0,0.15,4,25,0,3
"70",2548,1e+05,0.12,0,0.15,4,25,0,3
"71",10357,1e+05,0.13,0,0.15,4,25,0,3
"72",9918,1e+05,0.16,0,0.15,4,25,0,3
"73",10355,1e+05,0.13,0,0.15,4,25,0,3
"74",2645,1e+05,0.13,0,0.15,4,25,0,3
"75",2683,1e+05,0.13,0,0.15,4,25,0,3
"76",2702,1e+05,0.13,0,0.15,4,25,0,3
"77",4363,1e+05,0.14,0,0.15,4,25,0,3
"78",2485,1e+05,0.16,0,0.15,4,25,0,3
"79",4738,1e+05,0.12,0,0.15,4,25,0,3
"80",2650,1e+05,0.12,0,0.15,4,25,0,3
"81",4414,1e+05,0.12,0,0.15,4,25,0,3
"82",10361,1e+05,0.12,0,0.15,4,25,0,3
"83",10362,1e+05,0.13,0,0.15,4,25,0,3
"84",4474,1e+05,0.19,0,0.15,4,25,0,3
"85",4324,1e+05,0.13,0,0.15,4,25,0,3
"86",2675,1e+05,0.13,0,0.15,4,25,0,3
"87",4505,1e+05,0.13,0,0.15,4,25,0,3
"88",2780,1e+05,0.13,0,0.15,4,25,0,3
"89",4530,1e+05,0.14,0,0.15,4,25,0,3
"90",4336,1e+05,0.12,0,0.15,4,25,0,3
"91",4344,1e+05,0.13,0,0.15,4,25,0,3
"92",4513,1e+05,0.13,0,0.15,4,25,0,3
"93",9345,1e+05,0.12,0,0.15,4,25,0,3
"94",10365,1e+05,0.13,0,0.15,4,25,0,3
"95",4544,1e+05,0.2,0,0.15,4,25,0,3
"96",4338,1e+05,0.13,0,0.15,4,25,0,3
"97",4642,1e+05,0.13,0,0.15,4,25,0,3
"98",10364,1e+05,0.13,0,0.15,4,25,0,3
"99",2500,1e+05,0.13,0,0.15,4,25,0,3
"100",2514,1e+05,0.14,0,0.15,4,25,0,3
"101",2426,1e+05,0.25,0,0.15,4,25,0,3
"102",6438,1e+05,0.25,0,0.15,4,25,0,3
"103",2556,1e+05,0.25,0,0.15,4,25,0,3
"104",10348,1e+05,0.25,0,0.15,4,25,0,3
"105",6629,1e+05,0.17,0,0.15,4,25,0,3
"106",6759,1e+05,0.25,0,0.15,4,25,0,3
"107",10347,1e+05,0.25,0,0.15,4,25,0,3
"108",2555,1e+05,0.25,0,0.15,4,25,0,3
"109",8842,1e+05,0.25,0,0.15,4,25,0,3
"110",10349,1e+05,0.28,0,0.15,4,25,0,3
"111",10351,1e+05,0.25,0,0.15,4,25,0,3
"112",6763,1e+05,0.25,0,0.15,4,25,0,3
"113",6918,1e+05,0.25,0,0.15,4,25,0,3
"114",12840,1e+05,0.25,0,0.15,4,25,0,3
"115",4328,1e+05,0.25,0,0.15,4,25,0,3
"116",6933,1e+05,0.25,0,0.15,4,25,0,3
"117",4329,1e+05,0.25,0,0.15,4,25,0,3
"118",7025,1e+05,0.25,0,0.15,4,25,0,3
"119",7029,1e+05,0.25,0,0.15,4,25,0,3
"120",7032,1e+05,0.25,0,0.15,4,25,0,3
"121",10368,1e+05,0.25,0,0.15,4,25,0,3
"122",9232,1e+05,0.25,0,0.15,4,25,0,3
"123",9237,1e+05,0.25,0,0.15,4,25,0,3
"124",4362,1e+05,0.34,0,0.15,4,25,0,3
"125",7470,1e+05,0.25,0,0.15,4,25,0,3
"126",2029,1e+05,0.25,0,0.15,4,25,0,3
"127",8053,1e+05,0.25,0,0.15,4,25,0,3
"128",7518,1e+05,0.25,0,0.15,4,25,0,3
"129",2552,1e+05,0.28,0,0.15,4,25,0,3
"130",10346,1e+05,0.5,0,0.15,4,25,0,3
"131",10350,1e+05,0.5,0,0.15,4,25,0,3
"132",10358,1e+05,0.51,0,0.15,4,25,0,3
"133",10366,1e+05,0.5,0,0.15,4,25,0,3
"134",10370,1e+05,0.5,0,0.15,4,25,0,3
"135",10371,1e+05,0.5,0,0.15,4,25,0,3
"136",10372,1e+05,0.5,0,0.15,4,25,0,3
"137",10373,1e+05,0.47,0,0.15,4,25,0,3
"138",10374,1e+05,0.5,0,0.15,4,25,0,3
"139",10375,1e+05,0.51,0,0.15,4,25,0,3
"140",10376,1e+05,0.51,0,0.15,4,25,0,3
"141",10377,1e+05,0.55,0,0.15,4,25,0,3
"142",10378,1e+05,0.5,0,0.15,4,25,0,3
"143",10379,1e+05,0.5,0,0.15,4,25,0,3
"144",10380,1e+05,0.5,0,0.15,4,25,0,3
"145",10381,1e+05,0.5,0,0.15,4,25,0,3
"146",10382,1e+05,0.4,0,0.15,4,25,0,3
"147",10383,1e+05,0.5,0,0.15,4,25,0,3
"148",10384,1e+05,0.51,0,0.15,4,25,0,3
"149",10385,1e+05,0.51,0,0.15,4,25,0,3
"150",10386,1e+05,0.5,0,0.15,4,25,0,3
"151",10387,1e+05,0.56,0,0.15,4,25,0,3
"152",10388,1e+05,0.5,0,0.15,4,25,0,3
"153",10389,1e+05,0.5,0,0.15,4,25,0,3
"154",10390,1e+05,0.5,0,0.15,4,25,0,3
"155",10391,1e+05,0.5,0,0.15,4,25,0,3
"156",10392,1e+05,0.51,0,0.15,4,25,0,3
"157",10393,1e+05,0.37,0,0.15,4,25,0,3
"158",10394,1e+05,0.5,0,0.15,4,25,0,3
"159",10395,1e+05,0.5,0,0.15,4,25,0,3
"160",10396,1e+05,0.5,0,0.15,4,25,0,3
"161",10397,1e+05,0.5,0,0.15,4,25,0,3
"162",10398,1e+05,0.5,0,0.15,4,25,0,3
"163",10399,1e+05,0.47,0,0.15,4,25,0,3
"164",10400,1e+05,0.5,0,0.15,4,25,0,3
"165",10401,1e+05,0.5,0,0.15,4,25,0,3
"166",10402,1e+05,0.5,0,0.15,4,25,0,3
"167",10403,1e+05,0.5,0,0.15,4,25,0,3
"168",10404,1e+05,0.51,0,0.15,4,25,0,3
"169",10405,1e+05,0.5,0,0.15,4,25,0,3
"170",10406,1e+05,0.5,0,0.15,4,25,0,3
