"CODGEO","NB_D201","id_noeud","POPULATION"
"01004",24,"204325",14359
"01005",2,"186896",1635
"01007",3,"207506",2503
"01014",1,"148324",3410
"01021",3,"160528",1387
"01022",4,"143701",1175
"01024",3,"44999",3260
"01026",4,"24395",855
"01031",4,"211597",3646
"01032",1,"135013",3304
"01033",11,"69556",11644
"01034",16,"232266",8909
"01043",4,"198073",4534
"01049",3,"204973",2927
"01053",48,"234269",40490
"01058",1,"205334",865
"01060",1,"128095",550
"01065",1,"104798",1734
"01071",2,"27452",4524
"01072",3,"54590",3039
"01074",4,"186888",2409
"01075",2,"29420",1199
"01079",1,"139025",805
"01081",1,"192150",713
"01088",1,"194903",915
"01091",2,"154640",3173
"01092",1,"202828",1573
"01093",5,"70100",4957
"01095",1,"194987",641
"01099",1,"172095",1544
"01108",2,"114687",1164
"01109",5,"211969",2104
"01123",2,"149450",1070
"01138",3,"188967",2986
"01142",1,"36865",4308
"01143",11,"223046",8762
"01148",1,"130329",1855
"01157",1,"29417",2199
"01159",2,"90504",3186
"01160",12,"228292",9236
"01163",1,"190049",2005
"01173",10,"98046",10893
"01179",1,"153510",1925
"01183",1,"90489",1418
"01185",3,"93372",3919
"01192",1,"184162",2312
"01194",6,"90463",6254
"01199",2,"88072",2172
"01202",8,"98525",6889
"01211",3,"7779",1413
"01216",1,"35622",880
"01224",3,"28207",3115
"01228",1,"163828",648
"01231",3,"83706",1948
"01232",4,"218950",2196
"01237",1,"173816",1584
"01238",3,"221907",2448
"01244",2,"109901",7424
"01246",3,"166443",2140
"01248",3,"138214",2121
"01249",7,"38052",9277
"01254",1,"8224",1803
"01262",6,"211039",7074
"01263",1,"138017",3828
"01265",2,"220094",3410
"01266",6,"24388",2441
"01269",3,"150102",3524
"01272",2,"112803",1492
"01275",1,"24663",2497
"01281",2,"91692",4276
"01283",19,"217663",22258
"01288",1,"176111",2437
"01289",3,"138163",6109
"01301",3,"3750",2424
"01303",4,"224007",1686
"01304",5,"95246",2734
"01305",6,"18471",2276
"01306",4,"90507",1611
"01313",1,"138280",7560
"01314",3,"12379",1600
"01320",1,"21486",3651
"01322",5,"101263",4420
"01333",4,"10034",2926
"01343",2,"92081",1719
"01344",6,"27365",5505
"01345",1,"119258",2216
"01348",2,"131530",2783
"01350",3,"129713",2522
"01354",8,"188758",9635
"01360",2,"15663",1547
"01362",1,"214987",789
"01363",1,"176389",1645
"01367",1,"154785",747
"01370",1,"48648",1781
"01373",5,"163832",1101
"01376",4,"66981",3903
"01378",3,"189208",2469
"01383",3,"132334",1475
"01384",3,"76644",2240
"01386",1,"215442",1089
"01388",2,"3965",1091
"01389",2,"132370",1826
"01390",1,"232435",1068
"01399",1,"91685",1873
"01403",1,"211169",1294
"01407",1,"131733",965
"01416",1,"128105",1067
"01418",1,"192356",1021
"01419",2,"142858",6006
"01420",2,"131529",1630
"01422",3,"112811",1353
"01426",2,"207194",2524
"01427",10,"216405",6708
"01435",2,"54067",2157
"01443",8,"61449",4449
"01447",4,"194985",1214
"01450",6,"205206",3350
"01451",3,"45263",6258
"01452",1,"127554",1108
"01453",1,"175986",307
"01457",2,"114243",2919
"02009",1,"62118",529
"02011",2,"183849",1132
"02018",3,"56420",1948
"02028",3,"41274",2616
"02031",1,"56003",664
"02057",1,"113499",1469
"02058",1,"160895",803
"02059",1,"206336",2692
"02064",2,"206302",3861
"02093",4,"137271",1236
"02095",5,"18285",5750
"02103",1,"24277",1277
"02106",1,"148103",829
"02110",6,"202029",2250
"02112",1,"102528",609
"02126",2,"15830",516
"02128",3,"151193",1558
"02131",1,"151415",1911
"02135",1,"174305",1196
"02141",3,"29564",1827
"02163",5,"91012",2644
"02168",16,"205456",14189
"02173",13,"62833",11874
"02186",3,"211386",1305
"02190",2,"108118",583
"02203",1,"87179",1316
"02209",2,"10071",650
"02215",1,"190317",750
"02217",2,"56422",1052
"02226",1,"166154",1781
"02237",3,"165677",1485
"02238",2,"116308",1951
"02239",1,"176654",1181
"02243",1,"212072",2829
"02245",1,"63660",1796
"02287",1,"139593",1083
"02290",3,"209215",2770
"02292",1,"221287",1176
"02296",2,"30698",1199
"02298",3,"24561",1481
"02304",6,"216532",2915
"02305",4,"214893",3183
"02306",1,"116294",574
"02307",4,"132358",2192
"02315",4,"37469",1642
"02318",1,"190786",1425
"02334",3,"200660",3011
"02339",1,"59652",693
"02340",2,"18578",5351
"02352",1,"25463",585
"02359",1,"18580",1212
"02360",3,"79468",2198
"02361",8,"226976",5109
"02372",1,"188803",383
"02374",1,"170319",917
"02381",10,"181450",9346
"02382",1,"139889",1404
"02383",1,"95934",1499
"02389",4,"37856",654
"02397",1,"139546",1219
"02408",21,"217861",25219
"02420",1,"18292",835
