"CODGEO","NB_D107"
"01004",1
"01034",1
"01283",1
"01451",1
"02168",1
"02173",1
"02408",1
"02691",2
"02722",1
"03185",1
"03190",1
"03310",1
"04070",1
"04112",1
"05023",1
"05061",1
"06004",1
"06027",1
"06029",1
"06069",1
"06088",3
"07010",1
"07019",1
"07102",1
"07186",1
"08105",1
"08409",1
"09264",1
"09268",1
"10323",1
"10387",2
"11069",1
"11262",2
"12089",1
"12145",1
"12202",1
"12208",1
"12300",1
"13001",2
"13004",1
"13005",2
"13028",1
"13055",5
"13056",1
"13103",1
"13117",1
"14047",1
"14118",2
"14366",1
"15014",1
"15187",1
"16089",1
"16341",1
"16374",1
"17299",1
"17300",2
"17347",1
"17415",1
"18033",1
"18197",1
"18205",1
"18279",1
"19031",2
"19272",1
"19275",1
"21054",1
"21231",2
"21603",1
"22050",1
"22113",1
"22161",1
"22187",1
"22278",1
"23096",1
"24037",1
"24322",1
"24520",1
"25056",2
"25388",1
"25462",1
"26113",1
"26198",1
"26281",1
"26362",1
"27056",1
"27229",1
"27284",1
"27681",1
"28088",1
"28110",1
"28134",1
"29019",2
"29024",1
"29103",1
"29151",1
"29232",1
"2A004",1
"2A247",1
"2B033",2
"30007",1
"30028",1
"30189",3
"31395",1
"31483",1
"31488",1
"31555",4
"32013",1
"33011",1
"33058",1
"33063",2
"33075",1
"33227",1
"33240",1
"33243",1
"33249",1
"33522",1
"33529",1
"34032",2
"34111",1
"34172",3
"34301",2
"35115",1
"35236",1
"35238",2
"35278",1
"35288",1
"35360",1
"36018",1
"36044",1
"37050",1
"37210",1
"37261",1
"38053",2
"38151",1
"38185",1
"38421",1
"38516",1
"38544",1
"38563",1
"39198",1
"39300",1
"39478",1
"40088",1
"40192",1
"41018",1
"41047",1
"41194",1
"41269",1
"42095",1
"42147",1
"42187",1
"42207",1
"42218",1
"42275",1
"43157",1
"44003",1
"44036",1
"44109",3
"44162",1
"44184",1
"45004",1
"45155",1
"45234",1
"45302",1
"46042",1
"47001",2
"47157",1
"47323",1
"48095",1
"49007",2
"49099",2
"49328",1
"50025",1
"50129",1
"50502",1
"51108",1
"51230",1
"51454",3
"52121",1
"52269",1
"52448",1
"53062",1
"53130",1
"53147",1
"54099",1
"54329",1
"54382",1
"54395",2
"54528",1
"55029",1
"55545",1
"56121",1
"56151",1
"56165",1
"56260",2
"57031",1
"57227",1
"57463",1
"57606",1
"57630",1
"57631",1
"57672",1
"58086",1
"58194",1
"59009",1
"59017",1
"59122",2
"59136",1
"59170",1
"59172",1
"59183",1
"59249",1
"59271",1
"59295",1
"59329",1
"59350",3
"59392",2
"59512",1
"59544",1
"59560",1
"59599",2
"59606",1
"60057",1
"60157",1
"60159",2
"60175",1
"60612",1
"61001",1
"61006",1
"61169",1
"61214",1
"62041",2
"62119",2
"62160",1
"62193",1
"62270",1
"62423",1
"62498",1
"62510",1
"62688",1
"62758",1
"63032",1
"63113",1
"63178",1
"63430",1
"64102",2
"64422",1
"64445",2
"64493",1
"65440",2
"66136",3
"67180",1
"67437",1
"67447",1
"67462",1
"67482",3
"67544",1
"68004",1
"68066",2
"68224",2
"68297",1
"68334",1
"69013",1
"69029",1
"69081",1
"69091",1
"69092",1
"69123",3
"69152",1
"69202",1
"69256",1
"69266",1
"69276",1
"69286",1
"70550",1
"71014",1
"71076",1
"71153",1
"71270",1
"71342",1
"72022",1
"72181",2
"73011",1
"73054",1
"73065",1
"73248",1
"74010",2
"74012",1
"74087",1
"74112",1
"74243",1
"74256",1
"74281",1
"75056",16
"76217",1
"76259",1
"76351",1
"76384",1
"76447",1
"76451",1
"76540",2
"76561",1
"76565",1
"77131",1
"77186",1
"77237",1
"77284",1
"77288",1
"77305",1
"77379",1
"77470",1
"78158",2
"78361",1
"78401",1
"78498",2
"78517",1
"78551",1
"78621",1
"78646",1
"79049",1
"79191",2
"80001",1
"80021",1
"80620",1
"80725",1
"81004",2
"81065",1
"81140",1
"82121",3
"83023",1
"83050",1
"83061",1
"83065",1
"83069",1
"83137",2
"84007",2
"84031",1
"84035",1
"84087",1
"84089",1
"85047",1
"85092",1
"85166",1
"85191",2
"86066",1
"86194",2
"87085",2
"87154",1
"88160",2
"88321",1
"88383",1
"88413",1
"89024",1
"89387",1
"90010",1
"91021",1
"91027",1
"91174",1
"91223",1
"91228",2
"91345",2
"91471",1
"91514",1
"92002",1
"92023",1
"92024",1
"92025",1
"92035",1
"92044",1
"92050",1
"92051",3
"92063",1
"92064",1
"92073",1
"93001",1
"93007",1
"93010",1
"93045",1
"93046",1
"93047",1
"93048",1
"93066",1
"93072",1
"93073",1
"93078",1
"94015",1
"94028",1
"94043",1
"94052",1
"94068",1
"94069",1
"94078",1
"94081",1
"95018",1
"95052",1
"95203",1
"95219",1
"95277",1
"95313",1
"95500",1
"95585",1
"97101",2
"97103",1
"97105",1
"97209",2
"97229",1
"97230",1
"97302",1
"97304",1
"97311",1
"97407",1
"97410",1
"97411",2
"97415",1
"97416",1
"97422",1
"97602",1
"97606",1
"97608",1
"97611",1
"97614",1
