"from","to","demand"
1,2,100
1,3,100
1,4,500
1,5,200
1,6,300
1,7,500
1,8,800
1,9,500
1,10,1300
1,11,500
1,12,200
1,13,500
1,14,300
1,15,500
1,16,500
1,17,400
1,18,100
1,19,300
1,20,300
1,21,100
1,22,400
1,23,300
1,24,100
2,1,100
2,3,100
2,4,200
2,5,100
2,6,400
2,7,200
2,8,400
2,9,200
2,10,600
2,11,200
2,12,100
2,13,300
2,14,100
2,15,100
2,16,400
2,17,200
2,19,100
2,20,100
2,22,100
3,1,100
3,2,100
3,4,200
3,5,100
3,6,300
3,7,100
3,8,200
3,9,100
3,10,300
3,11,300
3,12,200
3,13,100
3,14,100
3,15,100
3,16,200
3,17,100
3,22,100
3,23,100
4,1,500
4,2,200
4,3,200
4,5,500
4,6,400
4,7,400
4,8,700
4,9,700
4,10,1200
4,11,1400
4,12,600
4,13,600
4,14,500
4,15,500
4,16,800
4,17,500
4,18,100
4,19,200
4,20,300
4,21,200
4,22,400
4,23,500
4,24,200
5,1,200
5,2,100
5,3,100
5,4,500
5,6,200
5,7,200
5,8,500
5,9,800
5,10,1000
5,11,500
5,12,200
5,13,200
5,14,100
5,15,200
5,16,500
5,17,200
5,19,100
5,20,100
5,21,100
5,22,200
5,23,100
6,1,300
6,2,400
6,3,300
6,4,400
6,5,200
6,7,400
6,8,800
6,9,400
6,10,800
6,11,400
6,12,200
6,13,200
6,14,100
6,15,200
6,16,900
6,17,500
6,18,100
6,19,200
6,20,300
6,21,100
6,22,200
6,23,100
6,24,100
7,1,500
7,2,200
7,3,100
7,4,400
7,5,200
7,6,400
7,8,1000
7,9,600
7,10,1900
7,11,500
7,12,700
7,13,400
7,14,200
7,15,500
7,16,1400
7,17,1000
7,18,200
7,19,400
7,20,500
7,21,200
7,22,500
7,23,200
7,24,100
8,1,800
8,2,400
8,3,200
8,4,700
8,5,500
8,6,800
8,7,1000
8,9,800
8,10,1600
8,11,800
8,12,600
8,13,600
8,14,400
8,15,600
8,16,2200
8,17,1400
8,18,300
8,19,700
8,20,900
8,21,400
8,22,500
8,23,300
8,24,200
9,1,500
9,2,200
9,3,100
9,4,700
9,5,800
9,6,400
9,7,600
9,8,800
9,10,2800
9,11,1400
9,12,600
9,13,600
9,14,600
9,15,900
9,16,1400
9,17,900
9,18,200
9,19,400
9,20,600
9,21,300
9,22,700
9,23,500
9,24,200
10,1,1300
10,2,600
10,3,300
10,4,1200
10,5,1000
10,6,800
10,7,1900
10,8,1600
10,9,2800
10,11,4000
10,12,2000
10,13,1900
10,14,2100
10,15,4000
10,16,4400
10,17,3900
10,18,700
10,19,1800
10,20,2500
10,21,1200
10,22,2600
10,23,1800
10,24,800
11,1,500
11,2,200
11,3,300
11,4,1500
11,5,500
11,6,400
11,7,500
11,8,800
11,9,1400
11,10,3900
11,12,1400
11,13,1000
11,14,1600
11,15,1400
11,16,1400
11,17,1000
11,18,100
11,19,400
11,20,600
11,21,400
11,22,1100
11,23,1300
11,24,600
12,1,200
12,2,100
12,3,200
12,4,600
12,5,200
12,6,200
12,7,700
12,8,600
12,9,600
12,10,2000
12,11,1400
12,13,1300
12,14,700
12,15,700
12,16,700
12,17,600
12,18,200
12,19,300
12,20,400
12,21,300
12,22,700
12,23,700
12,24,500
13,1,500
13,2,300
13,3,100
13,4,600
13,5,200
13,6,200
13,7,400
13,8,600
13,9,600
13,10,1900
13,11,1000
13,12,1300
13,14,600
13,15,700
13,16,600
13,17,500
13,18,100
13,19,300
13,20,600
13,21,600
13,22,1300
13,23,800
13,24,800
14,1,300
14,2,100
14,3,100
14,4,500
14,5,100
14,6,100
14,7,200
14,8,400
14,9,600
14,10,2100
14,11,1600
14,12,700
14,13,600
14,15,1300
14,16,700
14,17,700
14,18,100
14,19,300
14,20,500
14,21,400
14,22,1200
14,23,1100
14,24,400
15,1,500
15,2,100
15,3,100
15,4,500
15,5,200
15,6,200
15,7,500
15,8,600
15,9,1000
15,10,4000
15,11,1400
15,12,700
15,13,700
15,14,1300
15,16,1200
15,17,1500
15,18,200
15,19,800
15,20,1100
15,21,800
15,22,2600
15,23,1000
15,24,400
16,1,500
16,2,400
16,3,200
16,4,800
16,5,500
16,6,900
16,7,1400
16,8,2200
16,9,1400
16,10,4400
16,11,1400
16,12,700
16,13,600
16,14,700
16,15,1200
16,17,2800
16,18,500
16,19,1300
16,20,1600
16,21,600
16,22,1200
16,23,500
16,24,300
17,1,400
17,2,200
17,3,100
17,4,500
17,5,200
17,6,500
17,7,1000
17,8,1400
17,9,900
17,10,3900
17,11,1000
17,12,600
17,13,500
17,14,700
17,15,1500
17,16,2800
17,18,600
17,19,1700
17,20,1700
17,21,600
17,22,1700
17,23,600
17,24,300
18,1,100
18,4,100
18,6,100
18,7,200
18,8,300
18,9,200
18,10,700
18,11,200
18,12,200
18,13,100
18,14,100
18,15,200
18,16,500
18,17,600
18,19,300
18,20,400
18,21,100
18,22,300
18,23,100
19,1,300
19,2,100
19,4,200
19,5,100
19,6,200
19,7,400
19,8,700
19,9,400
19,10,1800
19,11,400
19,12,300
19,13,300
19,14,300
19,15,800
19,16,1300
19,17,1700
19,18,300
19,20,1200
19,21,400
19,22,1200
19,23,300
19,24,100
20,1,300
20,2,100
20,4,300
20,5,100
20,6,300
20,7,500
20,8,900
20,9,600
20,10,2500
20,11,600
20,12,500
20,13,600
20,14,500
20,15,1100
20,16,1600
20,17,1700
20,18,400
20,19,1200
20,21,1200
20,22,2400
20,23,700
20,24,400
21,1,100
21,4,200
21,5,100
21,6,100
21,7,200
21,8,400
21,9,300
21,10,1200
21,11,400
21,12,300
21,13,600
21,14,400
21,15,800
21,16,600
21,17,600
21,18,100
21,19,400
21,20,1200
21,22,1800
21,23,700
21,24,500
22,1,400
22,2,100
22,3,100
22,4,400
22,5,200
22,6,200
22,7,500
22,8,500
22,9,700
22,10,2600
22,11,1100
22,12,700
22,13,1300
22,14,1200
22,15,2600
22,16,1200
22,17,1700
22,18,300
22,19,1200
22,20,2400
22,21,1800
22,23,2100
22,24,1100
23,1,300
23,3,100
23,4,500
23,5,100
23,6,100
23,7,200
23,8,300
23,9,500
23,10,1800
23,11,1300
23,12,700
23,13,800
23,14,1100
23,15,1000
23,16,500
23,17,600
23,18,100
23,19,300
23,20,700
23,21,700
23,22,2100
23,24,700
24,1,100
24,4,200
24,6,100
24,7,100
24,8,200
24,9,200
24,10,800
24,11,600
24,12,500
24,13,700
24,14,400
24,15,400
24,16,300
24,17,300
24,19,100
24,20,400
